name,code,lat,lon,o3,no,no2,nox,co,pm10,pm25,nox_mi
Americana,290,-22.7242526995067,-47.3395492909725,NA,NA,NA,NA,NA,41.2654132483782,NA,NA
Araçatuba,107,-21.1868410998752,-50.4393168498844,-5.53962460896766,NA,NA,NA,NA,-6.70754896368132,NA,NA
Araraquara,106,-21.7825221457448,-48.1858318132219,11.2080026455026,121.405677655678,28.8197097020626,42.2033567525371,NA,10.3607503607504,NA,40.1212832550861
Bauru,108,-22.326608396587,-49.092759305391,3.39139614674057,15.0259067357513,25.6345177664975,23.6040609137056,NA,1.56784005468217,NA,24.1454545454545
Cambuci,90,-23.5677084050662,-46.6122728561358,NA,NA,NA,NA,NA,NA,NA,NA
Campinas-Centro,89,-22.9025248038637,-47.0572107427735,NA,NA,NA,NA,-36.0533940397351,16.8004309183948,NA,NA
Campinas-Taquaral,276,-22.8746189449543,-47.0589727566842,28.5714285714286,-17.5438596491228,87.0646766169154,73.841961852861,NA,NA,NA,78.030303030303
Campinas-V.União,275,-22.9467284160848,-47.1192808618633,-6.51020619920817,NA,NA,NA,NA,NA,25.1068376068376,NA
Capão Redondo,269,-23.6683561456718,-46.7800433836767,12.0880054366293,NA,NA,NA,NA,26.2509431714388,NA,NA
Carapicuíba,263,-23.5313950283077,-46.8357797276639,1.44068721492694,NA,NA,NA,15.3103835491455,19.9953749739842,NA,NA
Catanduva,248,-21.1419427576013,-48.9830752705603,3.38340586831391,73.7967914438503,47.4043715846995,50.5330490405117,NA,13.6128364389234,NA,50.3937007874016
Centro,94,-23.5478061597037,-46.6424144996321,NA,NA,NA,NA,NA,NA,NA,NA
Cerqueira César,91,-23.5535425616777,-46.6727047692529,NA,-60.5636175993597,-2.94111645433583,-22.7076673912117,0.336700336700345,19.7126140550974,NA,-17.0073728264558
Cid.Universitária-USP-Ipen,95,-23.5663417755292,-46.7374142819519,7.39149119037387,NA,NA,NA,NA,NA,16.2374821173104,NA
Congonhas,73,-23.6163200788182,-46.6634655273702,NA,44.5610687022901,23.7921445950643,31.5775594963412,31.7556890012642,15.1503795922333,16.7487684729064,29.9861777380275
Cubatão-Centro,87,-23.8790267306876,-46.418483361896,-5.38926642141621,-65.5969634230504,1.28667009778692,-48.4711550487501,NA,-17.5141485165495,NA,-44.0374221688423
Cubatão-V.Parisi,66,-23.8494161699591,-46.3886762431427,NA,6.28272922671095,16.9971031460134,9.54684621894759,NA,-33.2965584206319,NA,9.38107659988194
Cubatão-Vale do Mogi,119,-23.8315890081254,-46.3695687908739,64.3939393939394,-64.3484521238301,-18.609041231992,-49.1176470588235,NA,1.99005867891686,NA,-45.1304529325819
Diadema,92,-23.6858764117137,-46.6116219323751,16.0688892400063,NA,NA,NA,NA,9.49008498583569,NA,NA
Grajaú-Parelheiros,98,-23.776265984399,-46.6969610783657,3.29909741674448,NA,NA,NA,18.3734939759036,7.05774518790101,19.0650109569029,NA
Guaratinguetá,289,-22.8019171385919,-45.1911223603662,1.88198553583168,-31.1965811965812,5.53744748660002,-0.334397852448401,NA,49.911946500305,NA,2.45726495726496
Guarulhos,118,-23.4632093829649,-46.4962135994365,NA,NA,NA,NA,NA,NA,NA,NA
Guarulhos-Paço Municipal,264,-23.4555342581023,-46.5185334030574,38.5293628348029,NA,NA,NA,NA,31.4747597986884,26.9476372924649,NA
Guarulhos-Pimentas,279,-23.4401170078091,-46.4099487710006,24.9857305936073,3.72670807453416,24.232633279483,18.7227866473149,9.88372093023256,19.6204687373287,11.5672966482197,20
Ibirapuera,83,-23.5918419901379,-46.6606875025418,-14.45481205012,-51.4592933947773,-15.8976995244827,-18.337302446417,-10.4201680672269,NA,20.4416116549055,-18.6432637571158
Interlagos,262,-23.6805076511499,-46.6750431583082,6.72303286513024,NA,NA,NA,NA,20.7227138643068,NA,NA
Itaim Paulista,266,-23.5015473609702,-46.4207368394923,31.0947673016639,-47.8542914171657,25.1270225904792,11.0649379432624,NA,32.2398589065256,36.9564318783069,16.3636363636364
Itaquera,97,-23.5800148313619,-46.4666514114578,NA,NA,NA,NA,NA,NA,NA,NA
Jacareí,259,-23.2941992435412,-45.9682338642508,15.5351962429588,NA,NA,NA,NA,15.414407436096,NA,NA
