name,code,lat,lon,o3,no,no2,nox,co,pm10,pm25,nox_mi
Paulínia Sul,112,-22.7868064343791,-47.1365588816311,NA,NA,NA,NA,NA,NA,NA,NA
Pico do Jaraguá,284,-23.4562688997476,-46.7660977590058,-18.7722382153381,208.449197860963,2.00039611804318,16.5035269258258,NA,NA,-18.4418106865388,11.9258192787605
Pinheiros,99,-23.5614598947311,-46.7020165084763,21.1198467761378,-81.2034632034632,-52.9495176561663,-64.8055884416382,-52.3882212315048,NA,NA,-61.8318669279658
Piracicaba,113,-22.7012223402754,-47.6496526898721,13.7544085729789,110.636079249218,-6.67401445990253,3.42298572690501,NA,9.24919120154497,4.01527653354708,0.638279894183328
Pirassununga-EM,268,-22.0077128811569,-47.4275644904649,NA,NA,NA,NA,NA,NA,NA,NA
Presidente Prudente,114,-22.1199367347659,-51.4087770680215,13.1659267480577,-77.6618512573569,-48.387278040009,-52.8747795414462,NA,16.8509509066785,NA,-51.5244689085749
Ribeirão Preto,288,-21.1539418919679,-47.828480526621,NA,NA,NA,NA,NA,NA,NA,NA
S.André Capuava,100,-23.6398036991568,-46.4916367657882,-19.6465416704046,-42.6997245179063,-74.1748277112804,-66.0359049005337,NA,-24.6485799500572,NA,-67.6141257536606
S.André-Centro,101,-23.6456163828539,-46.5363346692648,NA,NA,NA,NA,NA,NA,NA,NA
S.André-Paço Municipal,254,-23.6569941995448,-46.5309187564731,NA,NA,NA,NA,NA,NA,NA,NA
S.Bernardo-Centro,272,-23.6986710864522,-46.5462321867186,-13.009828009828,-24.3498817966903,-52.7830061844582,-48.7941429801895,-46.6767371601208,NA,-33.297180043384,-49.8792853693868
S.Bernardo-Paulicéia,102,-23.6713539571073,-46.5846678858857,NA,NA,NA,NA,NA,-25.9561641160821,NA,NA
S.José Campos,88,-23.1878873302518,-45.8711976230777,-12.0910384068279,12.2649452708392,-29.5824536253267,-18.8374604734222,NA,-28.6429512516469,NA,-21.7972467400385
S.José Campos-Jd.Satélite,277,-23.2236454817019,-45.8907999962971,-9.61351987809946,29.8181818181818,-35.0933090578061,-25.3591954022989,-36.9047619047619,-8.60367503031434,-23.2438973950474,-27.8721682847896
S.José Campos-Vista Verde,278,-23.1836973451392,-45.8308969846329,NA,NA,NA,NA,NA,NA,NA,NA
S.Miguel Paulista,236,-23.4985264108007,-46.4448027795288,NA,NA,NA,NA,NA,NA,NA,NA
Santa Gertrudes,273,-22.4599552691691,-47.5362983394974,NA,-10.2197008767406,-4.07284265946411,-8.40376585998621,NA,11.2056249875421,-2.52844084960874,-7.68296844647451
Santana,63,-23.5059927222475,-46.6289602999862,-19.4046674102118,NA,NA,NA,NA,NA,23.7942122186495,NA
Santo Amaro,64,-23.6549772296114,-46.7099983817602,13.5805515072926,NA,NA,NA,-30.625,-12.7941267771776,NA,NA
Santos,258,-23.9630572042475,-46.3211700936539,-20.1542073138922,NA,NA,NA,NA,-21.850053849859,NA,NA
Santos-Ponta da Praia,260,-23.9812951573645,-46.3005095935412,-17.1069244265171,34.037015615963,-41.0737669140114,-0.584378563283926,NA,-26.8081935813565,-34.5147318977612,-8.7686567164179
São Caetano do Sul,86,-23.6184427729695,-46.5563539375078,-16.9768763203453,-39.2437289897309,-52.2267110655551,-48.5498584460522,-56.8762847260687,-24.8619555535647,-36.4000442150552,-49.4124961498534
São José Do Rio Preto,116,-20.7846892839301,-49.3982777928726,-1.77836438471719,-30.188679245283,-6.13492274401124,-13.3258736222042,NA,14.5262462859029,13.5777325186694,-11.0151155225371
Sorocaba,67,-23.5024265843066,-47.4790299116269,12.552162112874,-74.4360902255639,-57.9304043249829,-63.7283656170432,NA,NA,NA,-61.8417739905103
Taboão da Serra,103,-23.6093238641752,-46.7582943678197,NA,NA,NA,NA,NA,-26.4948453608247,NA,NA
Tatuí,256,-23.3607515378568,-47.8707990664729,-1.74055340672418,-41.2087912087912,-43.0210325047801,-41.7974322396576,NA,-27.9225352112676,NA,-42.7524429967427
Taubaté,280,-23.0323509589424,-45.5758050249834,-9.44869831546709,-38.3165560077104,-47.5775096063433,-46.0880228187562,NA,-28.6330457863305,-33.0578512396694,-46.8039109860062
