name,code,lat,lon,o3,no,no2,nox,co,pm10,pm25,nox_mi
Cambuci,90,-23.5677084050662,-46.6122728561358,NA,NA,NA,NA,NA,NA,NA,NA
Capão Redondo,269,-23.6683561456718,-46.7800433836767,-7.70373844102173,NA,NA,NA,NA,-14.7825732733161,NA,NA
Carapicuíba,263,-23.5313950283077,-46.8357797276639,13.2797118983919,NA,NA,NA,-40.8640552995392,-24.6660139416025,NA,NA
Centro,94,-23.5478061597037,-46.6424144996321,NA,NA,NA,NA,NA,NA,NA,NA
Cerqueira César,91,-23.5535425616777,-46.6727047692529,NA,-63.8822115384615,-56.2734962406015,-58.8984223636867,-50.9190246534687,-30.4724687643866,NA,-58.4121621621622
Cid.Universitária-USP-Ipen,95,-23.5663417755292,-46.7374142819519,2.27447533238105,NA,NA,NA,NA,NA,-29.5717884130982,NA
Congonhas,73,-23.6163200788182,-46.6634655273702,NA,-45.4223048583135,-37.6898210795369,-40.9188207513159,-50.4354524446056,-15.2181371808296,-25.666011855528,-40.2159119029943
Cubatão-Centro,87,-23.8790267306876,-46.418483361896,-19.0379752040627,134.05572755418,-18.8370684433677,64.432936302434,NA,9.94280686317642,NA,48.2840638803942
Cubatão-V.Parisi,66,-23.8494161699591,-46.3886762431427,NA,-7.7716705712741,-23.3925121883911,-12.5244959282324,NA,40.8721442319194,NA,-12.9071279523392
Cubatão-Vale do Mogi,119,-23.8315890081254,-46.3695687908739,7.83901544106405,4.27927927927929,-23.7092027822365,-7.48299319727891,NA,-14.0096402305705,NA,-9.64789669861553
Diadema,92,-23.6858764117137,-46.6116219323751,-7.93373277378733,NA,NA,NA,NA,-20.3160270880361,NA,NA
Grajaú-Parelheiros,98,-23.776265984399,-46.6969610783657,8.80460548594649,NA,NA,NA,-56.0264900662252,-32.1658031088083,-39.4515701017249,NA
Guarulhos,118,-23.4632093829649,-46.4962135994365,NA,NA,NA,NA,NA,NA,NA,NA
Guarulhos-Paço Municipal,264,-23.4555342581023,-46.5185334030574,-23.2213564950824,NA,NA,NA,NA,-19.8782961460446,-29.0760869565217,NA
Guarulhos-Pimentas,279,-23.4401170078091,-46.4099487710006,-15.3982847871436,-7.24946695095949,-38.3540945024302,-31.8849670350649,-28.237650200267,-11.4776364555256,-11.1874672412789,-33.7695343762078
Ibirapuera,83,-23.5918419901379,-46.6606875025418,29.9293154761905,7.99050632911393,-20.9544573643411,-19.7198275862069,-44.80462589802,NA,-29.6511569238842,-19.2841490138787
Interlagos,262,-23.6805076511499,-46.6750431583082,-4.93907181747472,NA,NA,NA,NA,-18.850987432675,NA,NA
Itaim Paulista,266,-23.5015473609702,-46.4207368394923,-20.4503765412328,-92.066435834422,-48.3874271376512,-74.1638807035163,NA,-24.508585630366,-46.9567637311205,-69.4835680751174
Itaquera,97,-23.5800148313619,-46.4666514114578,NA,NA,NA,NA,NA,NA,NA,NA
Jacareí,259,-23.2941992435412,-45.9682338642508,-3.65198711063373,NA,NA,NA,NA,-9.84051192100306,NA,NA
Jundiaí,109,-23.192003743039,-46.8970972725384,-47.3052110735313,-86.9744879626302,-52.5338204441872,-57.9992977939025,NA,-16.4630328847581,-29.1269018923488,-55.6837227644681
Marg.Tietê-Pte Remédios,270,-23.5187058310122,-46.7433200408467,NA,-74.5855707008123,-51.8995194065716,-65.3372566772295,-56.1887855044074,-30.5816135084428,-44.8882713905291,-62.9428559938875
Mauá,65,-23.6685489997822,-46.4660002742069,-9.17472094405671,NA,NA,NA,NA,-26.8617730156192,-37.7535512880091,NA
Mogi das Cruzes,287,-23.518172230148,-46.1868605711067,NA,NA,NA,NA,NA,NA,NA,NA
Mooca,85,-23.5497340450694,-46.6004166453369,0.773232072966815,NA,NA,NA,-45.8361267379835,NA,-40.1420959147425,NA
