São Paulo;37,80499525;40,43927377;42,74222644;45,29524747;56,58620783;56,1623472;52,59382718;54,67189776;55,38640757;54,88583482;54,82551382;56,352914;59,21;56,6;56,34;55,89;56,17;55,53;58,05;58,8335;53,53;52,8096;51,4462;47,6025977336582;56,3690347761729;54,2906401083982;57,7188444331831;49,55
Guarulhos;37,82403186;39,52818271;41,79497165;43,6201526;56,29064352;56,19549102;51,73135071;53,22119491;53,71588457;52,80944942;53,22677452;56,60040664;60,86;55,01;55,18;54,68;54,69;53,49;58,45;60,857;52,1;51,8976;50,525;49,5832609370969;60,8188720173536;58,1282444094211;62,5818045424264;52,25
Campinas;38,03399627;39,95105675;42,61962172;44,09222824;57,41172827;56,5398293;52,25293469;53,68633012;54,64290686;53,29874673;53,56910382;56,34459747;58,94;54,71;54,87;53,98;54,27;53,28;58,13;58,653;51,54;50,7264;49,1526;45,8364325257961;56,3326690527225;53,6089045035522;56,9331578947368;47,89
São Bernardo do Campo;37,0434196;39,68071513;41,64488549;43,7807842;55,30087944;55,8635626;51,61488996;53,93443018;54,31467506;53,58639506;53,0937901;55,41689914;58,58;55,95;56,27;55,42;55,45;54,97;57,86;59,166;52,6;52,3104;51,4462;48,4453528916677;58,6099290780142;55,9144813138304;59,5298598281113;50,47
São José dos Campos;40,23400056;41,18842924;50,47331044;47,63790728;58,21317381;56,87631899;52,56360895;55,41547739;55,71087897;54,85683852;54,96066594;56,87666443;60,03;56,49;56,56;56,09;55,63;54,96;58,4;60,04;52,84;51,8304;51,0514;49,0750494796655;59,7920981360523;56,2088563601423;60,3611790364153;49,84
