name,code,lat,lon,o3,no,no2,nox,co,pm10,pm25,nox_mi
Cambuci,90,-23.5677084050662,-46.6122728561358,NA,NA,NA,NA,NA,NA,NA,NA
Capão Redondo,269,-23.6683561456718,-46.7800433836767,12.0880054366293,NA,NA,NA,NA,26.2509431714388,NA,NA
Carapicuíba,263,-23.5313950283077,-46.8357797276639,1.44068721492694,NA,NA,NA,15.3103835491455,19.9953749739842,NA,NA
Centro,94,-23.5478061597037,-46.6424144996321,NA,NA,NA,NA,NA,NA,NA,NA
Cerqueira César,91,-23.5535425616777,-46.6727047692529,NA,-60.5636175993597,-2.94111645433583,-22.7076673912117,0.336700336700345,19.7126140550974,NA,-17.0073728264558
Cid.Universitária-USP-Ipen,95,-23.5663417755292,-46.7374142819519,7.39149119037387,NA,NA,NA,NA,NA,16.2374821173104,NA
Congonhas,73,-23.6163200788182,-46.6634655273702,NA,44.5610687022901,23.7921445950643,31.5775594963412,31.7556890012642,15.1503795922333,16.7487684729064,29.9861777380275
Cubatão-Centro,87,-23.8790267306876,-46.418483361896,-5.38926642141621,-65.5969634230504,1.28667009778692,-48.4711550487501,NA,-17.5141485165495,NA,-44.0374221688423
Cubatão-V.Parisi,66,-23.8494161699591,-46.3886762431427,NA,6.28272922671095,16.9971031460134,9.54684621894759,NA,-33.2965584206319,NA,9.38107659988194
Cubatão-Vale do Mogi,119,-23.8315890081254,-46.3695687908739,64.3939393939394,-64.3484521238301,-18.609041231992,-49.1176470588235,NA,1.99005867891686,NA,-45.1304529325819
Diadema,92,-23.6858764117137,-46.6116219323751,16.0688892400063,NA,NA,NA,NA,9.49008498583569,NA,NA
Grajaú-Parelheiros,98,-23.776265984399,-46.6969610783657,3.29909741674448,NA,NA,NA,18.3734939759036,7.05774518790101,19.0650109569029,NA
Guarulhos,118,-23.4632093829649,-46.4962135994365,NA,NA,NA,NA,NA,NA,NA,NA
Guarulhos-Paço Municipal,264,-23.4555342581023,-46.5185334030574,38.5293628348029,NA,NA,NA,NA,31.4747597986884,26.9476372924649,NA
Guarulhos-Pimentas,279,-23.4401170078091,-46.4099487710006,24.9857305936073,3.72670807453416,24.232633279483,18.7227866473149,9.88372093023256,19.6204687373287,11.5672966482197,20
Ibirapuera,83,-23.5918419901379,-46.6606875025418,-14.45481205012,-51.4592933947773,-15.8976995244827,-18.337302446417,-10.4201680672269,NA,20.4416116549055,-18.6432637571158
Interlagos,262,-23.6805076511499,-46.6750431583082,6.72303286513024,NA,NA,NA,NA,20.7227138643068,NA,NA
Itaim Paulista,266,-23.5015473609702,-46.4207368394923,31.0947673016639,-47.8542914171657,25.1270225904792,11.0649379432624,NA,32.2398589065256,36.9564318783069,16.3636363636364
Itaquera,97,-23.5800148313619,-46.4666514114578,NA,NA,NA,NA,NA,NA,NA,NA
Jacareí,259,-23.2941992435412,-45.9682338642508,15.5351962429588,NA,NA,NA,NA,15.414407436096,NA,NA
Jundiaí,109,-23.192003743039,-46.8970972725384,112.824295010846,335.466666666667,111.416811895139,125.198653198653,NA,26.158603209526,41.1947590495225,117.435231291044
Marg.Tietê-Pte Remédios,270,-23.5187058310122,-46.7433200408467,NA,-1.52990811372524,22.5926540482907,12.4559434812157,26.5776056401955,21.9731927049,21.6232834597254,14.5393656838926
Mauá,65,-23.6685489997822,-46.4660002742069,32.9435595641698,NA,NA,NA,NA,2.95970428987922,2.13305661247548,NA
Mogi das Cruzes,287,-23.518172230148,-46.1868605711067,NA,NA,NA,NA,NA,NA,NA,NA
Mooca,85,-23.5497340450694,-46.6004166453369,13.0635427760028,NA,NA,NA,15.4605263157895,NA,28.7833827893175,NA
N.Senhora do Ó,96,-23.4800987059504,-46.6920519221288,4.13129598189022,NA,NA,NA,NA,10.6170212765957,NA,NA
Osasco,120,-23.5267214190038,-46.7920776611899,NA,-1.59971560611447,-18.033381712627,-10.0122985414382,7.4313408723748,0.777756173439624,4.73568281938325,-12.4804804804805
Parque D.Pedro II,72,-23.5448456586808,-46.6276755923666,19.248342010326,-36.3994518670778,16.0045532157086,5.5865169176664,55.1258992805755,9.35501976670408,-33.3348874797961,8.53872809800381
Pico do Jaraguá,284,-23.4562688997476,-46.7660977590058,8.75482211744536,-80.3678357570573,-5.41818181818183,-18.7027044811476,NA,NA,1.21199607055481,-15.2346214511041
Pinheiros,99,-23.5614598947311,-46.7020165084763,2.36995998768851,11.7788461538461,23.9542051959489,21.5214564369311,9.34844192634562,NA,10.0344234079174,22.0692221808709
S.André Capuava,100,-23.6398036991568,-46.4916367657882,32.7958711140747,-25.0836120401338,125.696140693698,58.6086956521739,NA,25.5690668810612,NA,70.0894233734197
S.André-Centro,101,-23.6456163828539,-46.5363346692648,NA,NA,NA,NA,NA,NA,NA,NA
S.André-Paço Municipal,254,-23.6569941995448,-46.5309187564731,NA,NA,NA,NA,NA,NA,NA,NA
S.Bernardo-Centro,272,-23.6986710864522,-46.5462321867186,20.3078661206044,-1.875,15.1480637813212,11.8587047939445,18.1303116147309,NA,-3.52303523035231,12.52408477842
S.Bernardo-Paulicéia,102,-23.6713539571073,-46.5846678858857,NA,NA,NA,NA,NA,8.44733242134063,NA,NA
S.José Campos,88,-23.1878873302518,-45.8711976230777,20.6400575332614,-49.0434782608696,2.85171102661598,-15.4496541122214,NA,24.03988183161,NA,-11.0078959591268
S.José Campos-Jd.Satélite,277,-23.2236454817019,-45.8907999962971,16.3524904214559,-61.0644257703081,-9.04628330995792,-22.3291626564004,50.9433962264151,20.5475782254608,19.9297489322636,-19.4615816040381
S.José Campos-Vista Verde,278,-23.1836973451392,-45.8308969846329,NA,NA,NA,NA,NA,NA,NA,NA
S.Miguel Paulista,236,-23.4985264108007,-46.4448027795288,NA,NA,NA,NA,NA,NA,NA,NA
Santana,63,-23.5059927222475,-46.6289602999862,26.7941109767161,NA,NA,NA,NA,NA,-26.5106151333696,NA
Santo Amaro,64,-23.6549772296114,-46.7099983817602,-2.56341719077567,NA,NA,NA,-11.2941408561846,7.77853994982194,NA,NA
Santos,258,-23.9630572042475,-46.3211700936539,21.791835400391,NA,NA,NA,NA,31.8139097744361,NA,NA
Santos-Ponta da Praia,260,-23.9812951573645,-46.3005095935412,-89.1151046405823,-1.63390954297893,44.1463414634146,9.19549164399534,NA,30.1933544303797,26.1891592920354,15.2177165943439
São Caetano do Sul,86,-23.6184427729695,-46.5563539375078,29.3702556298349,-22.2075984908309,-20.0323656948627,-16.0721363456203,21.449856016026,9.91082406420504,10.2559820597848,-30.7390838170592
Taboão da Serra,103,-23.6093238641752,-46.7582943678197,NA,NA,NA,NA,NA,20.0695383426695,NA,NA
Taubaté,280,-23.0323509589424,-45.5758050249834,15.220700152207,-40.7407407407407,13.604766633565,7.27848101265824,NA,38.3077638307764,34.6502057613169,8.34080717488789
